state_id,source,concurrence,label
0,separable,3.332000937312528e-08,0
1,separable,0.0,0
2,separable,3.650024149988857e-08,0
3,separable,0.0,0
4,separable,2.5809568279517847e-08,0
5,separable,2.1073424255447017e-08,0
6,separable,3.650024149988857e-08,0
7,separable,0.0,0
8,separable,,0
9,separable,,0
10,separable,2.1073424255447017e-08,0
11,separable,,0
12,separable,,0
13,separable,0.0,0
14,separable,,0
15,separable,2.1073424255447017e-08,0
16,separable,1.4901161193847656e-08,0
17,separable,0.0,0
18,separable,2.1073424255447017e-08,0
19,separable,0.0,0
20,separable,2.1073424255447017e-08,0
21,separable,0.0,0
22,separable,3.942476676500724e-08,0
23,separable,0.0,0
24,separable,1.4901161193847656e-08,0
25,separable,0.0,0
26,separable,0.0,0
27,separable,1.4901161193847656e-08,0
28,separable,2.5809568279517847e-08,0
29,separable,,0
30,separable,,0
31,separable,2.5809568279517847e-08,0
32,separable,,0
33,separable,,0
34,separable,2.1073424255447017e-08,0
35,separable,,0
36,separable,0.0,0
37,separable,,0
38,separable,,0
39,separable,,0
40,separable,2.5809568279517847e-08,0
41,separable,2.5809568279517847e-08,0
42,separable,,0
43,separable,,0
44,separable,2.9802322387695312e-08,0
45,separable,1.4901161193847656e-08,0
46,separable,,0
47,separable,,0
48,separable,0.0,0
49,separable,3.650024149988857e-08,0
50,separable,0.0,0
51,separable,0.0,0
52,separable,2.1073424255447017e-08,0
53,separable,,0
54,separable,0.0,0
55,separable,,0
56,separable,,0
57,separable,2.5809568279517847e-08,0
58,separable,3.650024149988857e-08,0
59,separable,,0
60,separable,0.0,0
61,separable,,0
62,separable,2.9802322387695312e-08,0
63,separable,4.2146848510894035e-08,0
64,separable,,0
65,separable,1.4901161193847656e-08,0
66,separable,3.650024149988857e-08,0
67,separable,3.650024149988857e-08,0
68,separable,1.4901161193847656e-08,0
69,separable,,0
70,separable,0.0,0
71,separable,,0
72,separable,3.650024149988857e-08,0
73,separable,,0
74,separable,2.1073424255447017e-08,0
75,separable,2.1073424255447017e-08,0
76,separable,2.1073424255447017e-08,0
77,separable,,0
78,separable,0.0,0
79,separable,2.9802322387695312e-08,0
80,separable,,0
81,separable,2.1073424255447017e-08,0
82,separable,,0
83,separable,,0
84,separable,5.5755039852469285e-08,0
85,separable,1.4901161193847656e-08,0
86,separable,,0
87,separable,2.1073424255447017e-08,0
88,separable,2.1073424255447017e-08,0
89,separable,2.1073424255447017e-08,0
90,separable,3.650024149988857e-08,0
91,separable,0.0,0
92,separable,3.332000937312528e-08,0
93,separable,,0
94,separable,,0
95,separable,1.4901161193847656e-08,0
96,separable,,0
97,separable,,0
98,separable,4.2146848510894035e-08,0
99,separable,1.4901161193847656e-08,0
100,separable,,0
101,separable,0.0,0
102,separable,2.9802322387695312e-08,0
103,separable,,0
104,separable,1.4901161193847656e-08,0
105,separable,0.0,0
106,separable,2.1073424255447017e-08,0
107,separable,4.470348358154297e-08,0
108,separable,,0
109,separable,,0
110,separable,4.470348358154297e-08,0
111,separable,,0
112,separable,0.0,0
113,separable,2.5809568279517847e-08,0
114,separable,,0
115,separable,2.9802322387695312e-08,0
116,separable,2.1073424255447017e-08,0
117,separable,3.332000937312528e-08,0
118,separable,3.332000937312528e-08,0
119,separable,1.4901161193847656e-08,0
120,separable,,0
121,separable,,0
122,separable,,0
123,separable,,0
124,separable,3.650024149988857e-08,0
125,separable,2.9802322387695312e-08,0
126,separable,2.1073424255447017e-08,0
127,separable,0.0,0
128,separable,0.0,0
129,separable,2.9802322387695312e-08,0
130,separable,2.1073424255447017e-08,0
131,separable,0.0,0
132,separable,1.4901161193847656e-08,0
133,separable,,0
134,separable,1.4901161193847656e-08,0
135,separable,,0
136,separable,,0
137,separable,,0
138,separable,,0
139,separable,2.1073424255447017e-08,0
140,separable,2.1073424255447017e-08,0
141,separable,0.0,0
142,separable,,0
143,separable,1.4901161193847656e-08,0
144,separable,,0
145,separable,,0
146,separable,,0
147,separable,,0
148,separable,,0
149,separable,,0
150,separable,2.1073424255447017e-08,0
151,separable,2.5809568279517847e-08,0
152,separable,0.0,0
153,separable,,0
154,separable,3.650024149988857e-08,0
155,separable,2.9802322387695312e-08,0
156,separable,,0
157,separable,,0
158,separable,2.9802322387695312e-08,0
159,separable,3.650024149988857e-08,0
160,separable,,0
161,separable,2.1073424255447017e-08,0
162,separable,3.332000937312528e-08,0
163,separable,3.942476676500724e-08,0
164,separable,,0
165,separable,,0
166,separable,,0
167,separable,2.5809568279517847e-08,0
168,separable,0.0,0
169,separable,,0
170,separable,,0
171,separable,,0
172,separable,0.0,0
173,separable,2.1073424255447017e-08,0
174,separable,0.0,0
175,separable,2.9802322387695312e-08,0
176,separable,2.1073424255447017e-08,0
177,separable,1.4901161193847656e-08,0
178,separable,,0
179,separable,,0
180,separable,0.0,0
181,separable,,0
182,separable,,0
183,separable,2.1073424255447017e-08,0
184,separable,3.650024149988857e-08,0
185,separable,,0
186,separable,,0
187,separable,2.9802322387695312e-08,0
188,separable,,0
189,separable,,0
190,separable,1.4901161193847656e-08,0
191,separable,,0
192,separable,0.0,0
193,separable,,0
194,separable,2.1073424255447017e-08,0
195,separable,,0
196,separable,,0
197,separable,0.0,0
198,separable,,0
199,separable,0.0,0
200,separable,,0
201,separable,,0
202,separable,3.332000937312528e-08,0
203,separable,,0
204,separable,,0
205,separable,,0
206,separable,,0
207,separable,2.5809568279517847e-08,0
208,separable,4.2146848510894035e-08,0
209,separable,1.4901161193847656e-08,0
210,separable,,0
211,separable,3.332000937312528e-08,0
212,separable,0.0,0
213,separable,3.332000937312528e-08,0
214,separable,,0
215,separable,3.942476676500724e-08,0
216,separable,,0
217,separable,,0
218,separable,2.9802322387695312e-08,0
219,separable,,0
220,separable,0.0,0
221,separable,0.0,0
222,separable,,0
223,separable,,0
224,separable,2.1073424255447017e-08,0
225,separable,2.1073424255447017e-08,0
226,separable,0.0,0
227,separable,3.332000937312528e-08,0
228,separable,0.0,0
229,separable,,0
230,separable,5.1619136559035694e-08,0
231,separable,2.5809568279517847e-08,0
232,separable,,0
233,separable,4.2146848510894035e-08,0
234,separable,3.650024149988857e-08,0
235,separable,,0
236,separable,,0
237,separable,2.1073424255447017e-08,0
238,separable,,0
239,separable,0.0,0
240,separable,4.2146848510894035e-08,0
241,separable,0.0,0
242,separable,0.0,0
243,separable,0.0,0
244,separable,,0
245,separable,0.0,0
246,separable,,0
247,separable,2.9802322387695312e-08,0
248,separable,0.0,0
249,separable,0.0,0
250,separable,0.0,0
251,separable,1.4901161193847656e-08,0
252,separable,2.9802322387695312e-08,0
253,separable,0.0,0
254,separable,2.1073424255447017e-08,0
255,separable,2.9802322387695312e-08,0
256,separable,,0
257,separable,,0
258,separable,2.1073424255447017e-08,0
259,separable,2.5809568279517847e-08,0
260,separable,3.650024149988857e-08,0
261,separable,,0
262,separable,2.1073424255447017e-08,0
263,separable,,0
264,separable,,0
265,separable,,0
266,separable,2.1073424255447017e-08,0
267,separable,0.0,0
268,separable,,0
269,separable,,0
270,separable,3.942476676500724e-08,0
271,separable,,0
272,separable,2.1073424255447017e-08,0
273,separable,,0
274,separable,2.5809568279517847e-08,0
275,separable,,0
276,separable,2.9802322387695312e-08,0
277,separable,0.0,0
278,separable,4.470348358154297e-08,0
279,separable,,0
280,separable,,0
281,separable,,0
282,separable,,0
283,separable,2.9802322387695312e-08,0
284,separable,2.9802322387695312e-08,0
285,separable,4.470348358154297e-08,0
286,separable,3.650024149988857e-08,0
287,separable,0.0,0
288,separable,3.650024149988857e-08,0
289,separable,0.0,0
290,separable,,0
291,separable,3.942476676500724e-08,0
292,separable,2.1073424255447017e-08,0
293,separable,,0
294,separable,3.650024149988857e-08,0
295,separable,4.712160915387242e-08,0
296,separable,2.1073424255447017e-08,0
297,separable,2.1073424255447017e-08,0
298,separable,,0
299,separable,0.0,0
300,separable,,0
301,separable,3.332000937312528e-08,0
302,separable,3.332000937312528e-08,0
303,separable,,0
304,separable,4.2146848510894035e-08,0
305,separable,0.0,0
306,separable,3.942476676500724e-08,0
307,separable,3.650024149988857e-08,0
308,separable,,0
309,separable,2.5809568279517847e-08,0
310,separable,,0
311,separable,,0
312,separable,,0
313,separable,2.1073424255447017e-08,0
314,separable,4.712160915387242e-08,0
315,separable,2.5809568279517847e-08,0
316,separable,,0
317,separable,,0
318,separable,,0
319,separable,1.4901161193847656e-08,0
320,separable,1.4901161193847656e-08,0
321,separable,2.1073424255447017e-08,0
322,separable,,0
323,separable,0.0,0
324,separable,0.0,0
325,separable,,0
326,separable,,0
327,separable,2.9802322387695312e-08,0
328,separable,,0
329,separable,,0
330,separable,,0
331,separable,0.0,0
332,separable,,0
333,separable,1.4901161193847656e-08,0
334,separable,3.332000937312528e-08,0
335,separable,0.0,0
336,separable,4.2146848510894035e-08,0
337,separable,4.712160915387242e-08,0
338,separable,,0
339,separable,,0
340,separable,4.712160915387242e-08,0
341,separable,,0
342,separable,,0
343,separable,,0
344,separable,,0
345,separable,,0
346,separable,3.650024149988857e-08,0
347,separable,0.0,0
348,separable,,0
349,separable,0.0,0
350,separable,0.0,0
351,separable,,0
352,separable,3.650024149988857e-08,0
353,separable,3.650024149988857e-08,0
354,separable,4.470348358154297e-08,0
355,separable,4.2146848510894035e-08,0
356,separable,0.0,0
357,separable,,0
358,separable,3.942476676500724e-08,0
359,separable,,0
360,separable,4.2146848510894035e-08,0
361,separable,,0
362,separable,,0
363,separable,,0
364,separable,0.0,0
365,separable,,0
366,separable,0.0,0
367,separable,0.0,0
368,separable,2.9802322387695312e-08,0
369,separable,2.1073424255447017e-08,0
370,separable,2.1073424255447017e-08,0
371,separable,3.332000937312528e-08,0
372,separable,,0
373,separable,0.0,0
374,separable,3.650024149988857e-08,0
375,separable,0.0,0
376,separable,4.470348358154297e-08,0
377,separable,0.0,0
378,separable,,0
379,separable,2.9802322387695312e-08,0
380,separable,1.4901161193847656e-08,0
381,separable,4.2146848510894035e-08,0
382,separable,0.0,0
383,separable,0.0,0
384,separable,0.0,0
385,separable,,0
386,separable,,0
387,separable,,0
388,separable,2.1073424255447017e-08,0
389,separable,1.4901161193847656e-08,0
390,separable,2.1073424255447017e-08,0
391,separable,,0
392,separable,2.9802322387695312e-08,0
393,separable,2.9802322387695312e-08,0
394,separable,2.5809568279517847e-08,0
395,separable,,0
396,separable,4.2146848510894035e-08,0
397,separable,3.650024149988857e-08,0
398,separable,,0
399,separable,3.650024149988857e-08,0
400,separable,,0
401,separable,3.332000937312528e-08,0
402,separable,,0
403,separable,2.5809568279517847e-08,0
404,separable,0.0,0
405,separable,2.9802322387695312e-08,0
406,separable,2.1073424255447017e-08,0
407,separable,,0
408,separable,,0
409,separable,,0
410,separable,,0
411,separable,,0
412,separable,0.0,0
413,separable,2.1073424255447017e-08,0
414,separable,2.1073424255447017e-08,0
415,separable,3.650024149988857e-08,0
416,separable,2.1073424255447017e-08,0
417,separable,,0
418,separable,3.332000937312528e-08,0
419,separable,,0
420,separable,2.1073424255447017e-08,0
421,separable,2.5809568279517847e-08,0
422,separable,,0
423,separable,3.332000937312528e-08,0
424,separable,,0
425,separable,,0
426,separable,,0
427,separable,2.5809568279517847e-08,0
428,separable,0.0,0
429,separable,2.1073424255447017e-08,0
430,separable,0.0,0
431,separable,4.2146848510894035e-08,0
432,separable,2.1073424255447017e-08,0
433,separable,0.0,0
434,separable,3.650024149988857e-08,0
435,separable,,0
436,separable,3.942476676500724e-08,0
437,separable,2.9802322387695312e-08,0
438,separable,,0
439,separable,2.9802322387695312e-08,0
440,separable,0.0,0
441,separable,4.2146848510894035e-08,0
442,separable,,0
443,separable,2.1073424255447017e-08,0
444,separable,,0
445,separable,2.1073424255447017e-08,0
446,separable,,0
447,separable,1.4901161193847656e-08,0
